ID,Year,Group_Name,Persons,Area
414,2002,2,1703,29
415,2002,2,0,30
416,2002,2,903,45
417,2002,2,32,32
418,2002,2,1803,33
419,2002,2,54,34
420,2002,2,719,35
421,2003,2,0,1
422,2003,2,552,2
423,2003,2,0,3
424,2003,2,644,4
425,2003,2,682,5
426,2003,2,36,6
427,2003,2,83,7
428,2003,2,10,8
429,2003,2,0,9
430,2003,2,121,10
431,2003,2,4,11
432,2003,2,536,12
433,2003,2,317,23
434,2003,2,73,14
435,2003,1,233,15
436,2003,1,73,16
437,2003,1,272,17
438,2003,1,53,18
439,2003,1,0,19
440,2003,1,1020,20
441,2003,1,657,21
442,2003,1,2,22
443,2003,1,3,23
444,2003,1,0,24
445,2003,1,0,25
446,2003,1,449,26
447,2003,1,5,27
448,2003,1,113,28
449,2003,1,1336,29
450,2003,1,0,30
451,2003,1,582,31
452,2003,1,21,32
453,2003,1,1340,33
454,2003,1,37,34
455,2003,1,799,35
456,2004,2,1,1
457,2004,2,715,2
458,2004,2,0,3
459,2004,2,671,4
460,2004,2,791,5
461,2004,2,9,6
462,2004,2,181,7
463,2004,2,3,8
464,2004,2,0,9
465,2004,2,114,10
466,2004,2,6,11
467,2004,2,658,12
468,2004,2,327,13
469,2004,2,49,14
470,2004,2,350,15
471,2004,2,73,16
472,2004,2,279,17
473,2004,2,94,18
474,2004,2,0,19
475,2004,2,634,21
476,2004,2,715,21
477,2004,2,3,22
478,2004,2,2,23
479,2004,2,0,24
480,2004,2,2,25
481,2004,2,422,26
482,2004,2,7,27
483,2004,2,142,28
484,2004,2,879,29
485,2004,2,0,30
486,2004,2,592,31
487,2004,2,50,32
488,2004,2,1335,33
489,2004,2,89,34
490,2004,2,722,35
491,2005,2,0,1
492,2005,2,634,2
493,2005,2,6,3
494,2005,2,714,4
495,2005,2,688,5
496,2005,2,17,32
497,2005,2,90,7
498,2005,2,5,8
499,2005,2,0,9
500,2005,2,109,10
501,2005,2,11,11
502,2005,2,577,12
503,2005,2,192,13
504,2005,2,84,14
505,2005,2,370,15
506,2005,2,986,16
507,2005,2,270,17
508,2005,2,142,18
509,2005,2,0,19
510,2005,2,954,20
511,2005,2,717,21
512,2005,2,3,22
513,2005,2,24,23
514,2005,2,0,34
515,2005,2,2,25
516,2005,2,291,26
517,2005,2,4,27
518,2005,2,147,28
519,2005,2,804,29
520,2005,2,0,30
521,2005,2,753,31
522,2005,2,103,32
523,2005,2,1309,33
524,2005,2,48,34
525,2005,2,646,35
526,2006,2,0,1
527,2006,2,831,2
528,2006,2,7,3
529,2006,2,804,4
530,2006,2,971,5
531,2006,2,54,6
532,2006,2,115,7
533,2006,2,1,8
534,2006,2,4,9
535,2006,2,57,11
536,2006,2,2,11
537,2006,2,676,12
538,2006,2,191,13
539,2006,2,51,14
540,2006,2,341,15
541,2006,2,191,16
542,2006,2,243,17
543,2006,2,119,18
544,2006,2,0,19
545,2006,2,655,20
546,2006,2,606,21
547,2006,2,1,22
548,2006,2,4,23
549,2006,2,0,24
550,2006,2,1,25
551,2006,2,412,26
552,2006,2,2,27
553,2006,2,178,28
554,2006,2,784,29
555,2006,2,0,30
556,2006,2,808,31
557,2006,2,16,32
558,2006,2,1600,33
559,2006,2,94,34
560,2006,2,1005,35
561,2007,2,6,1
562,2007,2,804,2
563,2007,2,2,11
564,2007,2,807,4
565,2007,2,1256,5
566,2007,2,20,6
567,2007,2,64,7
568,2007,2,3,8
569,2007,2,0,9
570,2007,2,68,10
571,2007,2,6,11
572,2007,2,474,12
573,2007,2,305,13
574,2007,2,50,14
575,2007,2,476,15
576,2007,2,240,16
577,2007,2,297,17
578,2007,2,122,7
579,2007,2,0,19
580,2007,2,794,20
581,2007,2,543,21
582,2007,2,4,22
583,2007,2,3,23
584,2007,2,0,11
585,2007,2,0,25
586,2007,2,317,26
